Sample_Index,Execution_Time,Key_Bit,label,Label ID,Power Trace (Volts),Subkey,Attack/Normal,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,attack_success
15.0,100.2256086126891,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,-0.2344824650279109,0.2304883597382078,0.2902287541346718,0.5070190054738432,-0.0092391199153207,0.1918283658950447,0.094702426499195,-0.1035831502059087,-0.0621030566362021,-0.1687974996768997,-0.3302762846256425,-0.1146122111747167,-0.0103657760391909,-0.1410271627241493,0.2329603943934661,0.060197233181725,0.3409805078958358,0.064086912076214,0.0932299470716219,-0.0138226061765391,0.155422443575124,0.1230747991719962,-0.1825568013823429,0.1632736264877455,-0.048879907827148,0.0912216722873624,-0.001729390075655,0.017604189445671,0.0149863695617084,-0.0712151627125906,-0.2211442382744557,0.0574114381802763,0.2515365935122773,0.0369532031809234,0.4759555025148149,-0.0037697117831577,0.4339462024414691,0.292073991277307,-0.0923162575246231,0.2235367491884443,0.0604346928879809,-0.045745394898265,-0.0501801121672445,0.4510375678810898,0.3550185767646897,0.0511518000657772,0.0819386206580784,0.2801742850102643,0.2210668544546525,-0.0870707649537299,0.1902549264352251,0.2608445584840724,0.1566745446723077,0.2924851192545827,0.359513911409369,0.3400343167018693,0.1708990403018278,0.393924890834786,0.4609620633048443,0.2806661328316303,-0.1167383485881963,0.2114382531279458,0.1347101447589072,-0.1012058916990548,0.3746014405559054,-0.1897692369165484,-0.0186025308916734,0.2601829332331126,0.227939033233631,0.4406202117236862,0.0885924132199103,0.1075609661881414,0.3813203922851471,0.362919746695191,-0.141583436026548,0.3017122075039545,0.4342482269542723,-0.0750184564001068,0.4082813037898937,0.1529026066396203,0.5921108975354288,0.0720028373770043,0.137400719297461,0.3063313578525376,0.0415929471427879,0.2068027390561096,0.3346289505178145,0.5253417866396151,0.1463019203485714,0.614545850682338,0.4182714543302049,0.7710173205246528,0.6881563669546705,0.4316188990109452,0.5138624549060935,0.2456939148380904,0.0679092154168195,0.105693571157356,0.669863051820176,0.4827044973480464,0.0
,,,2,23.0,2553.55,Idle,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,0.4289447431758708,0.2208327871089329,-0.3279461236272501,0.0234903502457919,-0.0760414515457773,0.291878412307245,-0.0898370388558272,-0.1821644362818033,-0.0119683787297063,0.0916116872927363,-0.1142626798845418,-0.1207906277347453,-0.0574669580328155,-0.0406759071476774,0.0796092215346819,0.3817715213034059,0.2774606112783297,0.0096991310309014,-0.1347066291222615,-0.1277928541234947,-0.0917773874934787,0.0094731182500742,0.0750353955368843,-0.3004928910590631,0.4163762597237022,0.0468189441401729,0.3627664407976859,-0.1263276951137402,-0.2341528682556469,0.488506939238397,0.3298697734079051,-0.1151692078516378,-0.0816803411167808,-0.2430870546185161,0.321073742349844,-0.2058281570367834,-0.0358935408694781,-0.273382114214401,0.0659190251830569,0.2554389348034385,-0.0147916674911082,0.1165128480899175,-0.2465520059017329,0.3864468589765655,0.1000084950603933,0.0615764341979056,-0.2329283737691336,-0.0916274185632489,0.19023453032877,0.3392686253284258,0.2222886507161037,0.4491797684804457,0.2034465291763903,-0.3323087483448889,0.2238916033157414,0.1351908489151161,-0.0876185971675546,-0.1799906151115035,0.1746665590584736,0.0010878333543391,0.2779943963507156,0.4555262915114539,0.4633482902634908,-0.0002055921388639,0.0845944210618228,0.4991559200404842,0.427358955686249,0.0741545333614257,0.0279616722530928,0.2084241038558616,0.4654851721864658,0.2840229151622634,0.0177155808693944,0.3140386927744095,-0.0408461280309731,0.2393653891493119,0.3910912228985636,0.5752653243050067,0.5421770680939244,0.1974212333809802,0.3158064723471002,0.4872737466697038,0.4755435024300265,0.1351218028915916,0.2035575984271731,0.2202042099939217,0.1575123339277347,0.3607190745321766,0.5016996325133035,0.5138780646118072,0.1531728711017727,0.2145914819544117,0.7773382886175383,0.4085259330837847,0.503088805039806,0.4705122950936489,0.5613079108986769,0.1024799368499657,0.1354572720218541,0.3575613271429678,0.0
,,,3,,,,,0.118159823978124,-0.0538746631523796,-0.1076454883645492,0.3296418928606163,0.0403688463163465,0.1013290667816887,0.0710412603644995,-0.4832993099456895,-0.0028820782041727,-0.2419012713072144,0.131320790831295,-0.2044706843497987,0.3231557229750799,-0.0259946363682195,0.0694380189680219,-0.4045502757631871,-0.0215668129683532,0.110345724024161,0.3239723553915952,-0.2506434586311885,0.1375509586050904,0.298077059593323,0.1216306561966327,-0.1470882260236375,0.3829028464586448,0.3511104092546698,-0.0003801571902369,0.1909249830095583,0.1270435664824867,-0.1419336753903056,0.2106873921622694,-0.0557437025913872,0.256251390465127,0.2979140875686994,0.2047390507835073,0.1701905915361659,0.0696806012365325,0.1625180154221641,0.0248119578930297,-0.4464675511139261,0.2265987894004772,0.3143887799689168,-0.0566532671113719,0.1957656193319395,0.2295497581880042,-0.0265092673709006,0.1926092736978109,0.1416565996716809,-0.0573416478326845,0.6080728001920108,0.2063795415556674,0.0363573147326686,-0.0687445800895353,0.140780383195356,0.1739535797596774,0.0187695971989652,0.4395096227587376,0.2761262014526913,0.1275533820101384,-0.0012095946142846,0.3817665149368939,0.1353278397143405,0.3340582449038715,0.2885370647930075,0.379400171048183,0.2768423495585249,0.0625405953465807,0.161312928324938,0.321854002864799,0.240796222447527,0.2385765085061585,0.6808152839315941,0.0073547495769255,0.2345346617338811,0.4419493010108536,0.3889795767739523,0.4565686114865157,0.1011392216654949,0.5106251572668076,0.2063321297969027,0.1970589134081455,0.4128127438534932,0.5915688739303205,0.2131126843621306,0.0002036736890139,0.1672841862307469,0.2306035856529161,0.0032534267991404,0.1313015689764403,0.335657926639178,0.2173731444965161,0.2420807535301678,0.3971916904120447,0.1088821619880406,-0.0053710562129015,0.5815687986420992,0.2607968888076877,-0.0286379063713145,0.1917510706797404,0.365656116354674,0.0
155.0,103.58488127337606,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186.0,104.57767232986362,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,189.0,2641.48,Active,Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,51.0,2125.49,Idle,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195.0,112.06024872305136,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
